date,open,high,low,close,volume
2018-01-02,91.39,93.08,91.39,91.89,980460
2018-01-03,91.95,92.58,91.21,92.39,1513290
2018-01-04,92.2,92.95,91.77,92.76,920310
2018-01-05,92.83,93.01,92.08,92.76,873240
2018-01-08,92.76,92.89,92.02,92.51,736320
2018-01-09,92.58,92.7,90.33,91.89,1143400
2018-01-10,91.89,92.14,91.08,91.33,714190
2018-01-11,91.64,95.88,91.58,95.88,1699720
2018-01-12,96.88,96.88,94.88,96.88,1191440
2018-01-15,96.88,100.3,95.94,100.24,1292970
2018-01-16,100.61,101.86,99.99,100.61,1099830
2018-01-17,99.68,102.36,98.5,99.68,1155210
2018-01-18,97.87,102.11,97.87,102.11,1298160
2018-01-19,102.3,109.21,102.23,109.21,1812660
2018-01-22,110.33,116.39,110.02,116.39,570120
2018-01-25,124.5,124.5,124.5,124.5,530560
2018-01-26,133.17,133.17,115.89,118.57,2152820
2018-01-29,117.95,123.56,115.45,118.26,1897530
2018-01-30,118.26,121.69,114.27,121.69,1871290
2018-01-31,121.69,122,119.7,120.44,990200
2018-02-01,118.57,120.76,118.57,119.82,971750
2018-02-02,119.2,122,117.14,121.38,1489490
2018-02-05,117.95,121.07,115.45,115.45,697110
2018-02-06,107.4,107.4,107.4,107.4,1108080
2018-02-07,108.59,114.89,108.59,114.89,1148220
2018-02-08,115.01,118.57,112.33,114.83,437070
2018-02-09,110.46,115.45,107.65,115.45,741110
2018-02-12,116.08,122.88,116.08,122.88,1243970
2018-02-13,122.94,124.75,121.69,124.19,1883320
2018-02-21,124.31,126,124.06,124.19,837950
2018-02-22,124.19,124.19,119.88,121.69,655290
2018-02-23,121.69,122.44,120.26,121.69,748690
2018-02-26,121.82,123.56,121.44,121.75,920690
2018-02-27,121.82,127.12,121.82,125.44,1123280
2018-02-28,124.87,125.44,123.31,124.81,500780
2018-03-01,124.19,127.25,123.25,125.12,639280
2018-03-02,124.5,126.5,123.31,126.06,593610
2018-03-05,126.06,132.93,126.06,126.68,1197870
2018-03-06,127.31,130.93,126.68,130.93,686330
2018-03-07,130.93,131.68,128.56,129.49,459640
2018-03-08,129.74,131.68,128.24,130.43,703940
2018-03-09,130.74,132.61,130.43,130.43,692510
2018-03-12,130.43,132.24,130.43,130.99,544480
2018-03-13,130.99,131.36,125.44,128.56,931120
2018-03-14,129.18,130.12,126.68,128.87,1047430
2018-03-15,128.87,129.8,127.37,128.24,594820
2018-03-16,128.43,129.18,127.25,127.31,796950
2018-03-19,128.24,130.37,127.75,129.49,909580
2018-03-20,129.18,129.8,127.31,127.87,840590
2018-03-21,127.93,128.24,126.68,126.68,916790
2018-03-22,127.25,130.8,127.25,130.37,1005970
2018-03-23,126.68,130.05,126.68,130.05,554530
2018-03-26,130.43,136.05,130.43,135.98,1686310
2018-03-27,137.29,138.98,136.98,138.54,785100
2018-03-28,138.54,140.85,137.61,140.41,630320
2018-03-29,140.41,140.91,138.23,138.54,566610
2018-03-30,138.54,140.73,138.48,139.73,721770
2018-04-02,139.91,143.16,139.91,142.35,620070
2018-04-03,142.35,142.85,138.54,140.41,863160
2018-04-04,140.73,141.66,137.92,137.92,935260
2018-04-05,137.92,139.1,135.42,136.05,916470
2018-04-06,136.36,137.92,134.24,136.05,1138030
2018-04-09,137.29,138.1,134.61,136.05,1170690
2018-04-10,136.3,137.29,134.49,135.42,960130
2018-04-11,136.05,136.05,126,132.93,1127450
2018-04-12,132.3,133.55,129.8,131.05,737770
2018-04-13,131.68,133.24,131.36,132.18,597990
2018-04-16,132.3,133.05,131.49,132.18,375480
2018-04-17,132.18,133.24,131.05,131.05,484220
2018-04-18,131.68,131.99,130.12,130.93,603200
2018-04-19,131.05,131.68,122.94,122.94,1016210
2018-04-20,122.94,125,121.07,122.13,862320
2018-04-23,123.56,128.49,122.94,122.94,831900
2018-04-24,123.31,124.19,114.39,121.69,1019230
2018-04-26,122.32,122.94,113.39,119.82,854670
2018-04-27,118.57,118.57,114.2,116.7,513380
2018-05-02,117.01,117.32,112.08,112.08,944470
2018-05-03,112.08,112.08,106.03,107.96,598900
2018-05-04,112.96,114.14,108.59,110.46,507250
2018-05-07,111.71,114.2,110.15,114.2,727630
2018-05-08,114.52,118.51,114.33,117.26,667910
2018-05-09,117.89,124.79,116.38,121.78,584740
2018-05-10,122.28,123.85,117.89,120.46,864480
2018-05-11,119.83,119.83,116.01,119.08,340050
2018-05-14,119.77,121.02,118.83,120.52,567850
2018-05-15,121.65,124.1,121.02,123.53,608830
2018-05-16,123.41,123.47,121.09,122.15,310720
2018-05-17,122.28,122.28,116.45,117.89,576390
2018-05-18,117.26,121.02,109.67,119.14,977940
2018-05-21,120.08,121.02,114.88,115.38,413480
2018-05-22,109.74,114.69,108.17,110.93,592970
2018-05-23,110.93,111.62,108.23,111.62,585560
2018-05-24,112.24,112.81,105.97,107.54,621940
2018-05-25,107.54,107.54,100.02,100.02,813960
2018-05-28,95.94,98.45,93.06,93.06,361800
2018-05-29,86.85,98.45,86.85,95.31,754060
2018-05-30,94.69,95.31,89.86,92.18,439930
2018-05-31,94.06,94.69,92.24,93.31,543160
2018-06-01,94.69,99.83,94.69,99.83,538240
2018-06-04,103.47,106.79,102.21,106.79,374270
2018-06-05,108.48,111.3,106.91,108.48,493730
2018-06-06,106.6,109.49,105.35,109.49,359580
2018-06-07,109.49,113.81,109.49,112.24,718930
2018-06-08,112.31,112.56,111.3,112.24,592360
2018-06-11,112.24,117.26,110.36,115.38,635790
2018-06-12,114.75,115.25,107.73,112.24,622950
2018-06-13,112.24,114.44,111.93,112.68,378700
2018-06-14,109.8,112.56,109.74,109.74,419150
2018-06-15,109.67,110.3,107.86,108.48,451400
2018-06-18,109.11,109.67,101.58,103.47,477110
2018-06-19,103.47,103.47,97.13,100.33,594620
2018-06-20,100.33,106.6,98.45,106.6,808530
2018-06-21,106.6,111.62,103.53,108.55,391470
2018-06-22,109.11,110.99,106.91,109.67,563210
2018-06-25,109.92,110.68,107.92,108.48,349460
2018-06-26,107.23,108.48,105.97,108.42,241050
2018-06-27,108.42,108.42,106.98,106.98,347200
2018-06-28,107.23,107.23,104.09,104.16,475360
2018-06-29,105.28,107.69,104.91,106.64,465340
2018-07-02,106.64,106.79,104.08,104.53,254710
2018-07-03,104.53,105.06,99.27,100.02,339540
2018-07-04,99.27,100.02,96.26,98.52,394580
2018-07-05,98.89,102.43,94.76,97.39,531600
2018-07-06,97.76,100.4,95.51,99.94,502440
2018-07-09,100.02,101,96.86,98.14,413180
2018-07-10,98.29,101.15,97.39,100.4,717010
2018-07-11,99.19,99.19,96.26,98.29,402490
2018-07-12,98.36,99.19,96.26,98.06,352960
2018-07-13,98.52,98.89,96.71,98.52,356980
2018-07-16,99.64,100.62,98.29,99.27,421900
2018-07-17,99.27,99.42,97.99,99.34,393240
2018-07-18,100.4,101.15,100.02,101.15,999370
2018-07-19,102.2,107.84,101.9,105.28,1193840
2018-07-20,105.66,107.46,98.52,98.52,714380
2018-07-23,103.03,105.28,102.28,105.28,824950
2018-07-24,105.66,105.96,101.52,103.48,736570
2018-07-25,103.78,104.53,100.55,102.28,613650
2018-07-26,103.03,103.4,100.32,102.95,743270
2018-07-27,103.78,103.78,102.05,103.4,634770
2018-07-30,103.78,108.67,103.48,108.67,1590960
2018-07-31,107.16,109.42,106.79,108.59,878870
2018-08-01,108.59,109.04,106.34,107.54,594010
2018-08-02,107.54,109.8,105.81,109.8,914610
2018-08-03,110.55,112.05,109.19,111.3,1113820
2018-08-06,111.3,111.68,110.17,111.22,419070
2018-08-07,111.07,111.15,109.95,110.47,496310
2018-08-08,110.55,111.9,110.25,110.92,514700
2018-08-09,111.3,113.48,111.3,112.95,819990
2018-08-10,112.95,114.68,112.05,114.61,640740
2018-08-13,114.61,116.79,113.93,115.81,774760
2018-08-14,115.81,116.56,113.86,116.11,804390
2018-08-15,116.19,116.19,111.3,112.05,682950
2018-08-16,112.05,112.05,108.29,111.98,774200
2018-08-17,112.65,114.23,112.5,113.56,518380
2018-08-20,113.56,114.23,112.05,113.56,521820
2018-08-21,113.56,114.68,113.18,114.31,547170
2018-08-22,115.06,115.81,113.48,114.23,597400
2018-08-23,114.23,114.68,113.18,113.56,643710
2018-08-24,113.71,114.61,113.18,114.16,591390
2018-08-27,114.83,115.21,114.31,115.06,1087390
2018-08-28,115.06,117.17,114.98,116.71,1151770
2018-08-29,116.94,117.32,115.96,116.86,607750
2018-08-30,116.56,117.99,115.96,117.99,1074030
2018-08-31,118.14,118.82,116.94,117.32,1061020
2018-09-04,117.32,117.69,109.12,109.12,524240
2018-09-05,112.47,114.38,112.09,114,949760
2018-09-06,114,114.69,110.57,112.09,562370
2018-09-07,112.09,113.01,111.94,112.47,360100
2018-09-10,112.7,113.01,112.09,112.4,320600
2018-09-11,112.55,114.76,112.55,114.76,525660
2018-09-12,114.84,115.52,113.77,114.38,480160
2018-09-13,114.53,114.53,112.86,112.86,403560
2018-09-14,113.16,114.08,113.01,113.62,346600
2018-09-17,113.69,114,111.33,112.09,467680
2018-09-18,111.33,113.77,111.18,113.77,808380
2018-09-19,114,114.23,113.24,113.92,386640
2018-09-20,114.15,114.23,113.24,114.08,526160
2018-09-21,114.38,114.76,112.86,113.92,466240
2018-09-24,114,116.21,113.92,115.98,1029500
2018-09-25,116.06,116.29,114.91,115.98,1011010
2018-09-26,115.91,116.06,115.14,116.06,1188410
2018-09-27,116.29,117.2,115.07,116.36,1222140
2018-09-28,116.36,117.05,114.99,115.52,1157560
2018-10-01,115.6,115.75,112.47,113.24,1238340
2018-10-02,112.86,112.86,109.81,110.57,1375300
2018-10-03,111.18,111.33,110.11,110.42,697070
2018-10-04,110.57,110.57,108.66,109.5,837900
2018-10-05,109.42,109.42,108.59,109.12,604170
2018-10-08,109.12,109.35,107.21,107.21,658020
2018-10-09,107.52,109.27,107.52,109.04,586610
2018-10-10,109.2,110.57,109.2,110.57,748570
2018-10-11,108.28,109.73,102.94,107.37,591640
2018-10-12,107.37,107.52,105.61,107.52,733920
2018-10-15,107.52,108.28,105.23,106.15,367010
2018-10-16,106.3,106.76,104.31,104.47,817220
2018-10-17,105.15,106.22,104.85,106.15,850710
2018-10-18,106.15,106.53,103.7,104.09,653560
2018-10-19,103.32,103.32,100.65,100.65,924610
2018-10-22,101.42,101.42,97.38,98.37,1371200
2018-10-23,97.99,98.44,96.61,96.84,668320
2018-10-24,97.07,97.6,96.16,96.69,454880
2018-10-25,93.79,96.84,92.34,96.08,615660
2018-10-26,97.22,97.6,95.01,95.16,422490
2018-10-29,95.16,95.47,94.17,95.16,474250
2018-10-30,95.24,96.46,94.94,96.08,530390
2018-10-31,96.84,101.95,96.61,101.95,1064990
2018-11-01,102.56,103.4,101.87,102.03,946500
2018-11-02,102.18,103.4,102.18,103.32,840820
2018-11-05,103.32,103.55,102.48,103.4,604090
2018-11-06,103.7,104.85,102.18,102.18,531390
2018-11-07,102.26,103.63,99.36,100.65,639140
2018-11-08,101.19,102.18,101.04,101.65,622400
2018-11-09,101.87,102.18,99.36,99.82,491980
2018-11-12,99.82,99.82,98.29,98.52,457730
2018-11-13,98.37,98.75,97.22,97.6,341190
2018-11-14,97.76,99.05,97.22,97.22,442760
2018-11-15,97.3,98.75,96.69,97.38,532230
2018-11-16,97.91,98.75,96.61,97.53,488140
2018-11-19,97.76,98.37,97.53,97.91,501830
2018-11-20,97.99,99.43,97.91,98.37,528220
2018-11-21,98.37,98.37,97.22,97.6,391290
2018-11-22,97.6,98.06,97.45,97.68,589220
2018-11-23,97.99,97.99,96.77,96.84,334130
2018-11-26,96.99,97.22,96.69,96.84,373680
2018-11-27,97.45,97.6,96.54,96.61,392350
2018-11-28,96.84,98.98,96.69,98.75,888250
2018-11-29,99.89,102.03,99.82,101.04,1147260
2018-11-30,100.27,100.65,99.05,99.89,602920
2018-12-03,100.5,101.04,99.97,100.65,618450
2018-12-04,100.65,101.8,100.43,101.34,517240
2018-12-05,100.96,100.96,100.2,100.2,554870
2018-12-06,99.89,101.42,99.89,100.58,530060
2018-12-07,100.81,102.1,100.58,100.96,588100
2018-12-10,100.96,100.96,99.05,99.05,595660
2018-12-11,99.05,99.89,97.99,98.21,558320
2018-12-12,98.44,99.66,98.29,99.28,560950
2018-12-13,99.51,100.12,98.52,98.75,479680
2018-12-14,98.6,99.05,97.6,97.6,402510
2018-12-17,97.68,97.99,95.7,96.46,462490
2018-12-18,95.32,96,93.94,95.24,612150
2018-12-19,95.24,95.77,95.16,95.32,440150
2018-12-20,95.32,95.47,94.55,94.71,403570
2018-12-21,94.71,95.32,93.72,94.71,388100
2018-12-24,94.71,95.01,94.55,94.78,237590
2018-12-25,93.79,93.79,92.27,92.95,372990
2018-12-26,93.03,93.79,91.5,93.03,304700
2018-12-27,93.79,94.1,91.35,91.5,627250
2018-12-28,90.74,92.65,90.21,91.5,594960
2019-01-02,91.5,92.5,88.45,89.22,509920
2019-01-03,89.22,89.6,87.69,88.61,579590
2019-01-04,87.69,88.68,86.4,87.69,882080
2019-01-07,88.68,88.76,86.24,88.45,637590
2019-01-08,88.68,88.68,87.31,87.69,226650
2019-01-09,87.69,88.45,87.39,87.69,554850
2019-01-10,88.07,88.07,87.54,87.69,381340
2019-01-11,87.69,90.28,87.69,89.22,799230
2019-01-14,89.52,90.67,89.06,89.6,487330
2019-01-15,89.67,89.9,88.68,89.37,514390
2019-01-16,89.22,89.45,87.69,88.45,638280
2019-01-17,88.45,88.45,87.31,88.07,614570
2019-01-18,88.23,88.3,87.16,87.84,489080
2019-01-21,87.31,88.15,87.31,87.84,294150
2019-01-22,88.07,88.3,87.54,87.69,351870
2019-01-23,87.69,88.3,87.62,88.07,398030
2019-01-24,88.45,90.28,88.45,89.98,721190
2019-01-25,90.28,93.41,90.28,93.41,778640
2019-01-28,93.64,94.25,92.65,93.41,305350
2019-01-29,93.41,93.72,92.04,92.8,280160
2019-01-30,92.8,94.4,92.8,93.94,646990
2019-01-31,93.94,94.33,93.18,94.17,455960
2019-02-01,94.17,95.32,94.1,95.32,797560
2019-02-11,95.62,96.16,95.32,96,359160
2019-02-12,96.08,96.54,95.24,96,721400
2019-02-13,95.47,95.77,94.71,94.94,643080
2019-02-14,95.01,95.01,93.79,94.1,473820
2019-02-15,94.1,94.1,91.96,92.5,553820
2019-02-18,92.5,92.65,91.43,91.89,713710
2019-02-19,91.96,93.72,91.89,92.11,902500
2019-02-20,92.11,92.11,90.74,91.35,537530
2019-02-21,91.2,91.28,89.6,90.74,1065070
2019-02-22,90.74,93.87,90.74,92.65,1145220
2019-02-25,93.41,94.94,93.41,94.94,1125900
2019-02-26,95.32,95.32,93.87,94.25,932940
2019-02-27,94.25,94.25,93.03,93.56,1333370
2019-02-28,93.79,93.87,90.74,90.74,1629860
2019-03-01,90.74,91.5,89.22,91.5,1125320
2019-03-04,91.89,92.42,91.28,92.19,990660
2019-03-05,91.96,92.04,91.12,91.5,1074790
2019-03-06,91.5,92.27,91.5,92.27,939310
2019-03-07,92.27,92.72,92.19,92.57,1014890
2019-03-08,91.89,92.27,91.12,92.04,1002300
2019-03-11,92.04,92.72,91.5,92.5,794310
2019-03-12,92.57,92.8,91.43,91.89,1048390
2019-03-13,91.66,92.04,90.36,91.35,1223310
2019-03-14,91.35,91.35,89.83,90.28,1156440
2019-03-15,90.21,90.82,90.21,90.74,598760
2019-03-18,90.74,91.35,90.59,91.35,660300
2019-03-19,91.43,91.58,90.74,91.35,809590
2019-03-20,91.35,91.35,90.06,91.35,592830
2019-03-21,91.35,91.43,90.13,90.36,660960
2019-03-22,90.44,90.82,89.83,90.67,481800
2019-03-25,89.98,90.28,89.14,89.98,815680
2019-03-26,90.28,90.82,89.83,89.98,459670
2019-03-27,89.98,90.36,89.6,90.21,459010
2019-03-28,89.98,90.13,88.84,89.37,620430
2019-03-29,89.52,89.67,88.38,88.84,944370
2019-04-01,88.76,89.06,87.01,87.46,959500
2019-04-02,87.31,88.45,87.31,87.46,504360
2019-04-03,87.46,87.62,85.86,86.85,761320
2019-04-04,86.32,87.46,86.01,86.32,451040
2019-04-05,86.32,86.7,85.71,86.01,522350
2019-04-08,86.01,86.32,84.18,84.26,621740
2019-04-09,84.26,86.93,81.82,85.79,1595160
2019-04-10,86.32,86.32,84.64,86.09,1003980
2019-04-11,86.55,87.69,86.17,86.85,1106190
2019-04-12,86.24,86.93,85.79,86.32,876490
2019-04-16,85.71,86.4,85.18,86.4,619310
2019-04-17,86.47,86.55,85.63,86.55,565610
2019-04-18,86.55,88.45,86.4,86.93,995140
2019-04-19,87.69,88.23,87.39,87.62,568360
2019-04-22,87.69,88.15,87.46,87.62,448080
2019-04-23,87.77,88.15,87.23,88,431630
2019-04-24,88,88.08,87.23,88.08,401640
2019-04-25,88.08,88.92,87.62,88.62,670050
2019-04-26,88.08,89.15,87.85,89.15,575360
2019-05-02,89.62,91.15,89.23,91.15,1077940
2019-05-03,91,91.23,90.62,91.15,868540
2019-05-06,90.38,90.54,89.54,90.23,846420
2019-05-07,90.38,90.69,89.23,90,468670
2019-05-08,89.23,89.62,88.23,88.85,704440
2019-05-09,88.85,89.15,88.15,88.85,545570
2019-05-10,88.85,89.15,87.69,88.77,560410
2019-05-13,88.69,89.23,88.46,89.23,616000
2019-05-14,89.23,89.85,89,89.85,653650
2019-05-15,90,90.92,90,90.77,820490
2019-05-16,90.77,91.38,90.62,90.77,744920
2019-05-17,90.77,90.77,90,90.69,631990
2019-05-20,90.69,91.46,90.46,91,900890
2019-05-21,91.08,91.46,91.08,91.38,613310
2019-05-22,91.92,92.38,91.15,91.92,707930
2019-05-23,91.92,92.08,91.23,91.85,639060
2019-05-24,91.38,92.62,91.15,92.23,898900
2019-05-27,92.69,93.08,92.23,92.69,423350
2019-05-28,92.69,96.15,92.62,96.15,1298700
2019-05-29,95.77,95.77,94.46,95,443520
2019-05-30,94.62,95.54,93.85,95.54,413490
2019-05-31,95.38,96.15,95.08,95.77,714840
2019-06-03,95.38,95.38,93.77,93.85,631510
2019-06-04,93.85,94.31,92.31,93.31,558310
2019-06-05,93.69,93.77,92.92,93.38,530380
2019-06-06,93.31,93.38,91.85,93.38,584270
2019-06-07,93.46,94,93.46,94,534680
2019-06-10,94.31,96,94.23,95.38,644970
2019-06-11,95.08,95.54,94.46,95.38,480010
2019-06-12,95.38,95.46,94.23,95,444310
2019-06-13,94.92,94.92,93.15,93.54,455860
2019-06-14,93.15,94.62,93.15,93.62,484660
2019-06-17,91.92,92.62,91.54,92.23,568680
2019-06-18,92.23,92.62,90.77,90.77,358970
2019-06-19,91.92,92.15,91,91.92,474540
2019-06-20,92,95,91.92,94.85,738760
2019-06-21,94.77,95,94.15,94.77,559790
2019-06-24,94.77,95.23,94.77,95,628250
2019-06-25,94.69,95.77,94.62,95.31,655640
2019-06-26,95.23,95.77,95.23,95.54,690590
2019-06-27,95.54,95.85,95.38,95.77,663660
2019-06-28,95.54,98.46,95.54,98.46,977470
2019-07-01,96.92,98.31,96.92,97.69,780500
2019-07-02,97.77,99,97.62,98.85,609150
2019-07-03,98.85,98.92,97.92,98.85,491480
2019-07-04,98.85,99.92,98.54,99.62,559370
2019-07-05,99.62,99.85,99.23,99.62,420080
2019-07-08,99.31,99.31,98.23,98.85,606760
2019-07-09,98.85,99.15,98.23,99.15,629690
2019-07-10,99.77,101.15,99.69,101.15,803320
2019-07-11,101.15,101.15,100.31,101,599200
2019-07-12,101.08,101.23,100.15,100.15,604680
2019-07-15,101.08,100.31,99.31,99.62,592580
2019-07-16,99.69,100.77,99.62,100.77,817510
2019-07-17,100.85,100.85,99.62,100,597950
2019-07-18,100.08,100.77,98.85,98.85,612200
2019-07-19,100.08,100.23,99.15,100.15,590430
2019-07-22,100.77,103.85,100.77,101.54,511730
2019-07-23,100.92,101.62,100.92,101.46,426150
2019-07-24,101.46,103.08,101.46,102.15,679130
2019-07-25,102.54,102.92,102.08,102.31,771590
2019-07-26,101.92,102.38,101.92,102.31,717200
2019-07-29,102.46,102.85,102.31,102.62,585650
2019-07-30,102.69,102.92,102.62,102.62,492810
2019-07-31,102.62,103,101.54,102.62,849980
2019-08-01,101.92,102.62,100.92,102.31,888880
2019-08-02,101.54,101.85,101.15,101.85,752100
2019-08-05,101.15,101.15,100.31,100.54,799780
2019-08-06,99.85,100.08,98.85,100.08,893350
2019-08-07,100.23,100.85,100.23,100.69,533510
2019-08-08,100.85,101.15,100.08,100.85,671470
2019-08-09,100.92,101.31,100.69,101.31,819860
2019-08-12,101.54,103.46,101.46,103.46,801570
2019-08-13,102.92,103.23,101.54,101.92,526150
2019-08-14,102.08,103.08,101.15,101.23,1004290
2019-08-15,100.15,101.08,99.23,100.23,529870
2019-08-16,100,100.46,100,100.38,636040
2019-08-19,100.38,101,100,100.38,720980
2019-08-20,100.38,100.38,99.62,100,979530
2019-08-21,100.15,100.69,99.69,100.69,853770
2019-08-22,100.69,101.69,100.54,101.69,1047830
2019-08-23,101.77,103.08,101.69,103.08,1709500
2019-08-26,102.92,102.92,101.15,101.54,398470
2019-08-27,101.54,102,101.23,102,485470
2019-08-28,101.54,102.15,101.23,101.85,390240
2019-08-29,101.85,101.85,101.31,101.54,379870
2019-08-30,101.85,101.54,101.08,101.54,386150
